masterhotelid,hotelprice,name,
374447,1288,精选房,
374447,1455,瑞士商务房,
374447,1487,豪华房,
374447,1819,行政房,
374447,5889,行政套房,
374485,1005,豪华房,
374485,1114,高级豪华房,
374485,1359,行政豪华间,
374485,1973,豪华套房,
378770,785,高级房,
378770,930,豪华房,
378770,1092,园景房,
378770,1176,亲子房,
378770,1307,湖景房,
378770,1874,行政套房,
425587,951,希尔顿客房,
425587,1150,豪华房,
425587,1508,行政房,
425587,1702,雅致套房,
425587,2058,豪华套房,
425587,2634,单卧室儿童套房,
425587,3182,行政套房,
396425,1033,精选房,
396425,1095,特色商务房,
396425,1098,商务房,
396425,1334,商务豪华房,
396425,1513,亚洲房,
396425,1740,商务套房,
396425,2051,亚洲套房,
11061734,556,豪华双床房,
11061734,556,豪华大床房,
11061734,662,优选双床房,
11061734,662,优选大床房,
11061734,777,普通套房,
11061734,1348,行政套房,
8899814,509,云境双床房,
8899814,509,云境大床房,
8899814,586,希尔顿无障碍大床房,
8899814,629,云境标准双床房,
8899814,629,行政标准双床房,
8899814,739,云镜海景大床房,
8899814,739,云境海景双床房,
8899814,796,豪华大床房,
8899814,901,豪华海景大床房,
8899814,1006,行政双床房,
8899814,1006,行政大床房,
8899814,1159,行政豪华大床房,
8899814,1159,行政豪华双床房,
8899814,1259,行政全海景大床房,
8899814,1579,雅致海景套房,
8899814,2729,豪华海景套房,
429562,1117,豪华客房,
429562,1228,豪华江景房,
429562,1327,尊荣江景客房,
429562,1593,豪华阁客房,
429562,1653,豪华阁江景房,
429562,3199,行政套房,
429562,7110,家庭房,
371233,1427,高级客房,
371233,1484,豪华客房,
371233,1598,典雅豪华房,
371233,1712,行政高级房,
371233,1826,行政豪华房,
371233,1982,行政典雅豪华房,
371233,2054,商务套房,
371233,2362,行政套房,
371233,3032,喜来登套房,
429545,602,高级海景双床房,
429545,718,豪华城景双床房,
429545,718,豪华城景大床房,
429545,857,豪华海景双床房,
429545,858,豪华海景大床房,
429545,904,豪华阁城景双床房,
429545,904,豪华阁城景大床房,
429545,1043,豪华阁海景双床房,
429545,1043,豪华阁海景大床房,
429545,1970,行政套房,
429545,2202,豪华套房,
2893488,670,豪华大床房,
2893488,670,豪华双床房,
2893488,776,高级豪华大床房,
2893488,850,行政豪华大床房,
2893488,850,行政豪华双床房,
2893488,1138,商务套房,
2893488,1651,行政豪华套房,
369785,520,高级房,
369785,520,高级经典双床房,
369785,618,豪华精选双床房,
369785,619,豪华房,
369785,790,行政高级房,
369785,829,行政高级豪华房,
369785,829,行政豪华房,
369785,1219,行政套房,
369785,1219,高级套房,
369785,1440,公寓套房,
369739,1042,豪华高尔夫景房,
369739,1224,豪华湖景房,
369739,1688,行政豪华高尔夫景房,
369739,1733,行政豪华湖景房,
369739,2445,全景套房,
369739,2445,行政套房,
432704,468,豪华双床房,
432704,468,高级房,
432704,504,豪华大床房,
432704,600,行政双床房,
432704,600,行政大床房,
432704,668,豪华特色房,
432704,720,高级套房,
432704,844,行政特色大床房,
432704,898,豪华套房,
