['生活方式套房 (Lifestyle Suite)', '雷根套房 (Legian Suite)', '豪华套房 (Luxe Suite)']|l-hotel-seminyak,,,,,,
[]|seminyak-icon,,,,,,,,
[]|dyana-villas,,,,,,,,
[]|jamahal-private-resort-and-spa,,,,,,,,
[]|the-beverly-hills-a-luxury-villas-spa,,,,,,,,
[]|baliku-beach-front-luxury-private-pool-villas,,,,,,,,
[]|ahimsa-beach,,,,,,,,
[]|the-wangsa-benoa,,,,,,,,
[]|the-royal-santrian-villas,,,,,,,,
[]|bumi-linggah-the-pratama-villas,,,,,,,,
[]|the-banyumas-villa,,,,,,,,
[]|indiana-kenanga-luxury-boutique-hotel-spa,,,,,,,,
[]|coconuts-beach-resort,,,,,,,,
[]|villa-marlee,,,,,,,,
[]|villa-nelayan-by-nakula-management-island,,,,,,,,
[]|askara-villa,,,,,,,,
[]|komea-villa,,,,,,,,
[]|tigadis-villa,,,,,,,,
[]|mahagiri-villas-dreamland-spa,,,,,,,,
[]|agung-nirwana-villas-and-spa,,,,,,,,
[]|the-kryamaha-villas,,,,,,,,
[]|villa-kayu-lama,,,,,,,,
[]|ashling-villa,,,,,,,,
['单卧室泳池别墅 (1 Bedroom Pool Villa)', '双卧室泳池别墅 (2 Bedroom Pool Villa)']|sandi-kala-villas,,,,,,,
[]|onje-villa,,,,,,,,
[]|astamana-villa-canggu,,,,,,,,
[]|kishi-kishi-house,,,,,,,,
[]|ziva-a-residence,,,,,,,,
[]|the-awan-villas,,,,,,,,
['单卧室泳池别墅 (One Bed Room Pool Villa)', '单卧室奢华独立泳池别墅 (Luxury 1-Bedroom Private Pool Villa)', '双卧室泳池别墅 (Two Bed Room Pool Villa)']|the-widyas-luxury-villa,,,,,,
[]|the-layar-designer-villas-and-spa,,,,,,,,
[]|ubud-padi-villas,,,,,,,,
[]|balangan-beach-villa,,,,,,,,
[]|goodway-hotel-resort,,,,,,,,
[]|nusa-dua-retreat-boutique-villa-resort-and-spa,,,,,,,,
[]|the-shanti-residence,,,,,,,,
[]|kubu-kedungu-villas,,,,,,,,
[]|the-sanyas-retreat,,,,,,,,
[]|d’wina-villa-kuta-by-family-hospitality,,,,,,,,
